latitude_dd,longitude_dd,vdatum,member_name,site_id,site_no,description,networks,state,county,waterbody,horizontal_datum,priority,zone,horizontal_collection_method,perm_housing_installed,peak_summary_id,member_id,peak_date,is_peak_estimated,is_peak_time_estimated,peak_stage,is_peak_stage_estimated,peak_discharge,is_peak_discharge_estimated,vdatum_id,height_above_gnd,is_hag_estimated,time_zone,aep,aep_lowci,aep_upperci,aep_range,calc_notes,last_updated,last_updated_by,member,data_file,hwms,vertical_datums,Links
29.74451,-96.04016,NAVD88,Kristine Blickenstaff,20881,TXAUS20881,Entrance sign to brazos county owners association park,,TX,Austin County,brazos river,,,,,No,5239,,9/2/2017 5:00:00 PM,1,1,119.2,0,,0,,6.13,,UTC,,,,,Single HWM used.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.70871,-96.04501,NAVD88,Kristine Blickenstaff,20904,TXAUS20904,Route 1458,,TX,Austin County,brazos river,,,,,No,5240,,9/2/2017 5:00:00 PM,1,1,113.69,0,,0,,3.34,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.68492,-96.05888,NAVD88,Kristine Blickenstaff,20905,TXAUS20905,rt 1458 across from a TX DoT equipment lot,,TX,Austin County,brazos river,,,,,No,5241,,9/2/2017 5:00:00 PM,1,1,112.54,1,,0,,7.6,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.6616,-96.05042,NAVD88,Kristine Blickenstaff,20906,TXAUS20906,South side of rt 1458,,TX,Austin County,bessies creek,,,,,No,5242,,9/2/2017 5:00:00 PM,1,1,113.07,1,,0,,4.6,1,UTC,,,,,Average of 2 HWMs was used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.67883,-96.01545,NAVD88,Kristine Blickenstaff,20907,TXFOR20907,spur road,,TX,Fort Bend County,brazos river,,,,,No,5243,,9/2/2017 5:00:00 PM,1,1,113.87,1,,0,,3.9,1,UTC,,,,,Average of 2 HWMs was used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.64249,-95.9767,NAVD88,Kristine Blickenstaff,20787,TXFOR20787,Simonton RD,,TX,Fort Bend County,brazos river,,,,,No,5244,,9/2/2017 5:00:00 PM,1,1,108.59,1,,0,,3.61,1,UTC,,,,,Average of 2 HWMs was used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.70178,-95.99787,NAVD88,Kristine Blickenstaff,20908,TXFOR20908,Intersection of Sagebrush and Cheyenne,,TX,Fort Bend County,brazos river,,,,,No,5245,,9/2/2017 5:00:00 PM,1,1,114.73,1,,0,,4.2,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.91801,-96.00157,NAVD88,Kristine Blickenstaff,20867,TXWAL20867,bridge over bessies creek on rt 529,,TX,Waller County,bessies creek,,,,,No,5247,,9/2/2017 5:00:00 PM,1,1,165.46,1,,0,,3.71,1,UTC,,,,,Average of 3 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.91331,-96.08236,NAVD88,Kristine Blickenstaff,20868,TXWAL20868,Bridge on Bessies Creek on rt 529,,TX,Waller County,Bessies Creek,,,,,No,5249,,9/2/2017 5:00:00 PM,1,1,137.09,1,,0,,5.1,1,UTC,,,,,Average of 3 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.81746,-96.06119,NAVD88,Kristine Blickenstaff,20873,TXWAL20873,Route 1458,,TX,Waller County,brazos river,,,,,No,5250,,9/2/2017 5:00:00 PM,1,1,127.81,0,,0,,0,,UTC,,,,,Single HWM used to create peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.82733,-96.03619,NAVD88,Kristine Blickenstaff,20875,TXWAL20875,Route 1458 bridge over the Brazos River.,,TX,Waller County,brazos river,,,,,No,5251,,9/2/2017 5:00:00 PM,1,1,128.75,1,,0,,1.16,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.83108,-96.00887,NAVD88,Kristine Blickenstaff,20876,TXWAL20876,North side of rt 1458 bridge,,TX,Waller County,Brazos River,,,,,No,5252,,9/2/2017 5:00:00 PM,1,1,129,1,,0,,0,1,UTC,,,,,Average of 2 HWMs to used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.78864,-95.93972,NAVD88,Kristine Blickenstaff,20877,TXWAL20877,Gate on a fence row on Stallknecht Rd across from the intersection of 3rd street,,TX,Waller County,brookshire creek,,,,,No,5253,,9/2/2017 5:00:00 PM,1,1,159.06,1,,0,,1.59,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.32141,-95.04375,NAVD88,Jeremy McDowell,23213,TXLIB23213,Sam Houston Forest,,TX,Liberty County,San Jacinto River,,,,,No,5320,,8/30/2017 5:00:00 PM,1,1,231.54,0,,0,,0,,UTC,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.35497,-95.0524,NAVD88,Jeremy McDowell,23214,TXLIB23214,Tarkington Bayou,,TX,Liberty County,San Jacinto River,,,,,No,5321,,8/30/2017 5:00:00 PM,1,1,148.6,0,,0,,,,UTC,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.06112,-95.13171,NAVD88,Jeremy McDowell,23215,TXHAR23215,White Oak,,TX,Harris County,San Jacinto River,,,,,No,5322,,8/30/2017 5:00:00 PM,1,1,55.17,0,,0,,2.35,,UTC,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.06727,-95.09903,NAVD88,Jeremy McDowell,23216,TXHAR23216,White Oak (2),,TX,Harris County,San Jacinto River,,,,,No,5323,,8/30/2017 5:00:00 PM,1,1,56.81,0,,0,,2.8,,UTC,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.15013,-95.30852,NAVD88,Jeremy McDowell,20989,TXBRA20989,Enterprise Products Fence off highway FM2004,,TX,Brazoria County,Gulf of Mexico,,,,,No,5436,,8/29/2017 5:00:00 PM,1,1,8.4,1,,0,,3.43,,UTC,,,,,avg,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.0956,-95.2828,NAVD88,Jeremy McDowell,20996,TXBRA20996,Bastrop Bayou picnic area. Downstream from the bridge,,TX,Brazoria County,Gulf of Mexico,,,,,No,5437,,8/29/2017 5:00:00 PM,1,1,5.98,1,,0,,1.79,,UTC,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.0636,-95.3213,NAVD88,Jeremy McDowell,21015,TXBRA21015,Brazoria National Wildlife Refuge Enterance,,TX,Brazoria County,Gulf of Mexico,,,,,No,5438,,8/29/2017 5:00:00 PM,1,1,7.15,1,,0,,1.42,,UTC,,,,,avg,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.0676,-95.3598,NAVD88,Jeremy McDowell,21016,TXBRA21016,Bridge Near Brazoria County Road 231,,TX,Brazoria County,Gulf of Mexico,,,,,No,5441,,8/29/2017 5:00:00 PM,1,1,10.07,1,,0,,1.48,,UTC,,,,,avg,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.11175,-95.37351,NAVD88,Jeremy McDowell,21018,TXBRA21018,Intersection by the Shuman Boats and R.V. Storage sign.  Lang Shores Dr and 38th,,TX,Brazoria County,Gulf of Mexico,,,,,No,5446,,8/29/2017 5:00:00 PM,1,1,6.99,1,,0,,1.05,,UTC,,,,,avg,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.1256,-95.45393,NAVD88,Jeremy McDowell,21019,TXBRA21019,Intersection of CR-220 and CR220B,,TX,Brazoria County,Gulf of Mexico,,,,,No,5448,,8/29/2017 5:00:00 PM,1,1,24.08,1,,0,,3.12,,UTC,,,,,avg,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.11085,-95.45239,NAVD88,Jeremy McDowell,21020,TXBRA21020,Closest measurement to the airport. Off SH-88 bridge near the Jackson Lake welcome sign,,TX,Brazoria County,Gulf of Mexico,,,,,No,5449,,8/29/2017 5:00:00 PM,1,1,22.33,1,,0,,2.08,,UTC,,,,,avg,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.0437,-95.4429,NAVD88,Jeremy McDowell,21021,TXBRA21021,The Bridge on Yaupon Street,,TX,Brazoria County,Gulf of Mexico,,,,,No,5450,,8/29/2017 5:00:00 PM,1,1,15.52,0,,0,,0.54,,UTC,,,,,,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.35514,-95.01536,NAVD88,Kristine Blickenstaff,21080,TXGAL21080,E side of Jackson rd.,,TX,Galveston County,dickinson bayou,,,,,No,5487,,9/2/2017 5:00:00 PM,1,1,12.41,0,,0,,3,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.32475,-94.9272,NAVD88,Kristine Blickenstaff,21081,TXGAL21081,gazebo on I-45 frontage road,,TX,Galveston County,galviston bay,,,,,No,5488,,9/2/2017 5:00:00 PM,1,1,4.26,1,,0,,0,,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.3907,-94.8867,NAVD88,Kristine Blickenstaff,21085,TXGAL21085,Texas City dike,,TX,Galveston County,Gulf of Mexico,,,,,No,5490,,9/2/2017 5:00:00 PM,1,1,5.34,0,,0,,0,,UTC,,,,,Single HWM used for peak..,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.43425,-94.89462,NAVD88,Kristine Blickenstaff,21086,TXGAL21086,S. of Beach Rd..,,TX,Galveston County,Gulf Of Mexico,,,,,No,5491,,9/2/2017 5:00:00 PM,1,1,5.04,0,,0,,0,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.09378,-95.11251,NAVD88,Kristine Blickenstaff,21087,TXGAL21087,100 m. west of FM 3005,,TX,Galveston County,Gulf of Mexico,,,,,No,5492,,9/2/2017 5:00:00 PM,1,1,3.66,1,,0,,0.5,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.4696,-95.0142,NAVD88,Kristine Blickenstaff,21088,TXGAL21088,Bridge over Gum Bayou off of 517.  Right bank upstream.,,TX,Galveston County,Gum Bayou,,,,,No,5493,,9/2/2017 5:00:00 PM,1,1,8.21,0,,0,,0,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.4085,-94.9549,NAVD88,Kristine Blickenstaff,21089,TXGAL21089,"2513 Clara Lane, Texas City.",,TX,Galveston County,Dickinson Bayou,,,,,No,5494,,9/2/2017 5:00:00 PM,1,1,5.98,0,,0,,1.5,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.45467,-95.07063,NAVD88,Kristine Blickenstaff,21237,TXGAL21237,SW side of elm drive.,,TX,Galveston County,dickenson bayou,,,,,No,5495,,9/2/2017 5:00:00 PM,1,1,14.8,0,,0,,6.53,0,UTC,,,,,Average of 2 HWMs used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.4609,-95.06325,NAVD88,Kristine Blickenstaff,21246,TXGAL21246,Home near bridge at intersection of cedar and cherry drive. Bridge was over-topped.,,TX,Galveston County,Dickenson Bayou,,,,,No,5496,,9/2/2017 5:00:00 PM,1,1,14.53,0,,0,,2.9,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.4567,-95.0362,NAVD88,Kristine Blickenstaff,22733,TXGAL22733,"Cul-de-sac, Casa Grande St., near Dickenson Bayou",,TX,Galveston County,Dickenson Bayou,,,,,No,5497,,9/2/2017 5:00:00 PM,1,1,11.61,0,,0,,4.23,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.99918,-95.24011,NAVD88,Kristine Blickenstaff,21049,TXHAR21049,Drainage under FM1960,,TX,Harris County,Drainage under FM1960,,,,,No,5498,,9/2/2017 5:00:00 PM,1,1,65.34,1,,0,,2.7,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.00851,-95.23673,NAVD88,Kristine Blickenstaff,21059,TXHAR21059,719 Moonshine Hill rd,,TX,Harris County,San Jacinto river,,,,,No,5499,,9/2/2017 5:00:00 PM,1,1,65.45,1,,0,,4.8,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.0094,-95.22192,NAVD88,Kristine Blickenstaff,21106,TXHAR21106,San Jacinto River near Belleau Wood Rd and Riviera Rd,,TX,Harris County,San Jacinto River,,,,,No,5500,,9/2/2017 5:00:00 PM,1,1,64.38,0,,0,,4.1,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.02031,-95.15742,NAVD88,Kristine Blickenstaff,21123,TXHAR21123,Near intersection of Atascacita Shores and Shore Grove Drive.,,TX,Harris County,Lake Houston,,,,,No,5501,,9/2/2017 5:00:00 PM,1,1,55.05,0,,0,,5.5,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.01206,-95.14379,NAVD88,Kristine Blickenstaff,21128,TXHAR21128,Atascocita Shores Dr,,TX,Harris County,Lake Houston,,,,,No,5502,,9/2/2017 5:00:00 PM,1,1,54.6,1,,0,,3,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.00055,-95.15881,NAVD88,Kristine Blickenstaff,21131,TXHAR21131,Tributary to Lake Houston near FM 1960. Big grassy ditch.,,TX,Harris County,Tributary to Lake Houston,,,,,No,5503,,9/2/2017 5:00:00 PM,1,1,56.32,1,,0,,0,,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.959,-95.16394,NAVD88,Kristine Blickenstaff,21132,TXHAR21132,Dellwood Springs and Lakeshore landing near Lake Houston,,TX,Harris County,Lake Houston,,,,,No,5504,,9/2/2017 5:00:00 PM,1,1,52.33,0,,0,,0,,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.02615,-95.11942,NAVD88,Kristine Blickenstaff,21133,TXHAR21133,Yellow community pool house on Sunny Glen drive,,TX,Harris County,Lake Houston,,,,,No,5505,,9/2/2017 5:00:00 PM,1,1,54.38,0,,0,,1.5,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
29.94551,-95.13944,NAVD88,Kristine Blickenstaff,21137,TXHAR21137,Lake Shadows Boat Launch,,TX,Harris County,Lake Houston,,,,,No,5506,,9/2/2017 5:00:00 PM,1,1,52.51,0,,0,,0.5,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.05686,-95.20083,NAVD88,Kristine Blickenstaff,21158,TXHAR21158,Unnamed tributary to San Jacinto under Tree Ln,,TX,Harris County,Unnamed Tributary to San Jacinto River,,,,,No,5507,,9/2/2017 5:00:00 PM,1,1,62.51,1,,0,,0,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.07389,-95.23954,NAVD88,Kristine Blickenstaff,21170,TXMON21170,Ben's Branch at FM 494,,TX,Montgomery County,Ben's Branch,,,,,No,5508,,9/2/2017 5:00:00 PM,1,1,78.62,1,,0,,0,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.42977,-95.32621,NAVD88,Kristine Blickenstaff,21798,TXMON21798,Bridge at intersection of Browder Traylor Rd and FM 3081,,TX,Montgomery County,San Jacinto River,,,,,No,5509,,9/2/2017 5:00:00 PM,1,1,236.82,1,,0,,0,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.343,-95.3438,NAVD88,Kristine Blickenstaff,21799,TXMON21799,"On Millmac Rd, 0.3 miles south of intersection of Millmac Rd. and FM 1484",,TX,Montgomery County,San Jacinto River,,,,,No,5510,,9/2/2017 5:00:00 PM,1,1,179.5,0,,0,,0.5,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.31263,-95.22336,NAVD88,Kristine Blickenstaff,21800,TXMON21800,On Old Hwy 105 approximately 1.5 miles northeast of intersection of Old Hwy 105 E and S Duck Creek Rd.,,TX,Montgomery County,San Jacinto River,,,,,No,5511,,9/2/2017 5:00:00 PM,1,1,143.43,1,,0,,4.2,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.2831,-95.1791,NAVD88,Kristine Blickenstaff,21801,TXMON21801,"Morgan Cemetery Rd. approximately 3.2 miles southeast of intersection of Daw Collins Rd. and Morgan Cemetery Rd, about 150' from west end of bridge over creek.",,TX,Montgomery County,San Jacinto River,,,,,No,5512,,9/2/2017 5:00:00 PM,1,1,124.02,0,,0,,0,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.25164,-95.16338,NAVD88,Kristine Blickenstaff,21802,TXMON21802,"Magnolia Dr, 0.72 miles west of US-59 BUS (I-69 service road)",,TX,Montgomery County,San Jacinto River,,,,,No,5513,,9/2/2017 5:00:00 PM,1,1,111.91,0,,0,,0.6,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.21948,-95.24969,NAVD88,Kristine Blickenstaff,21804,TXMON21804,"Hwy 242, 4.5 miles west of I-69",,TX,Montgomery County,Caney Creek,,,,,No,5514,,9/2/2017 5:00:00 PM,1,1,113.55,1,,0,,0,,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.21691,-95.2759,NAVD88,Kristine Blickenstaff,21806,TXMON21806,"19107-19187 Hwy. 242 Conroe, TX 
On bridge over Caney Creek.",,TX,Montgomery County,San Jacinto River,,,,,No,5515,,9/2/2017 5:00:00 PM,1,1,123.78,1,,0,,0,1,UTC,,,,,Average of 2 HWMs used to estimate peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.20833,-95.18012,NAVD88,Kristine Blickenstaff,21808,TXMON21808,Located under bridge north of intersection of Creekwood Drive and I-69 by turnaround lanes.,,TX,Montgomery County,San Jacinto River,,,,,No,5516,,9/2/2017 5:00:00 PM,1,1,91.89,0,,0,,0,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.1928,-95.1693,NAVD88,Kristine Blickenstaff,21814,TXMON21814,"Splendora, TX. Located near intersection of Main St. and Cheatum Rd.",,TX,Montgomery County,Trib to Peach Creek,,,,,No,5517,,9/2/2017 5:00:00 PM,1,1,92.95,0,,0,,1.8,,UTC,,,,,Single HWW used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.17536,-95.22828,NAVD88,Kristine Blickenstaff,21817,TXMON21817,Brook Forest Rd approx. 2 miles west of I-69,,TX,Montgomery County,Caney Creek,,,,,No,5518,,9/2/2017 5:00:00 PM,1,1,96.48,0,,0,,3,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
30.1731,-95.1763,NAVD88,Kristine Blickenstaff,21877,TXMON21877,"Exterior, east facing wall of Roman Forest Park Pool Building, on Roman Forest Blvd, about 300 ft from Peach Creek, on left bank",,TX,Montgomery County,Peach Creek,,,,,No,5519,,9/2/2017 5:00:00 PM,1,1,86.37,0,,0,,4.5,,UTC,,,,,Single HWM used for peak.,,,,System.Collections.Generic.HashSet`1[STNDB.data_file],System.Collections.Generic.HashSet`1[STNDB.hwm],,
